file	drug_words.txt.uniq_lem.txt	mpqa_pos_words.txt.uniq_lem.txt	love_words.txt.uniq_lem.txt	mpqa_neut_words.txt.uniq_lem.txt	2-3PTokens.txt.uniq_lem.txt	1PTokens.txt.uniq_lem.txt	action_verbs.txt.uniq_lem.txt	1PSTokens.txt.uniq_lem.txt	death_words.txt.uniq_lem.txt	mpqa_neg_words.txt.uniq_lem.txt	sensual_words.txt.uniq_lem.txt	concrete_nouns.txt.uniq_lem.txt	
ian_curtis.txt.tkzd.37.txt	2	7	12	7	10	6	0	6	3	8	1	22	
stuart_adamson.txt.tkzd.8.txt	6	40	31	27	26	11	0	4	17	50	15	47	
kurt_cobain.txt.tkzd.23.txt	2	20	8	11	10	36	0	34	0	26	3	17	
elliott_smith.txt.tkzd.55.txt	5	13	9	17	39	11	2	11	16	25	3	27	
kurt_cobain.txt.tkzd.49.txt	8	8	14	2	44	32	0	32	2	24	0	22	
elliott_smith.txt.tkzd.73.txt	2	10	2	13	11	6	2	5	3	12	3	16	
ian_curtis.txt.tkzd.38.txt	0	7	0	9	14	9	0	9	0	8	0	21	
elliott_smith.txt.tkzd.8.txt	8	17	12	6	10	7	1	7	2	16	4	19	
elliott_smith.txt.tkzd.61.txt	6	25	10	18	30	5	1	5	1	18	6	15	
phil_ochs.txt.tkzd.15.txt	2	16	9	8	17	0	2	0	1	19	5	28	
ian_curtis.txt.tkzd.40.txt	1	11	18	6	3	13	1	5	7	36	9	9	
elliott_smith.txt.tkzd.77.txt	5	13	12	4	19	7	0	7	2	13	0	17	
elliott_smith.txt.tkzd.7.txt	2	13	15	4	12	13	0	13	4	18	3	23	
phil_ochs.txt.tkzd.24.txt	6	46	36	17	22	7	0	4	3	23	11	26	
kurt_cobain.txt.tkzd.6.txt	2	10	10	11	12	20	0	20	3	11	3	30	
elliott_smith.txt.tkzd.18.txt	1	13	3	7	22	3	0	3	3	24	2	22	
phil_ochs.txt.tkzd.21.txt	1	21	13	25	7	19	0	19	7	14	25	27	
stuart_adamson.txt.tkzd.15.txt	3	18	12	16	6	17	0	16	1	9	7	25	
phil_ochs.txt.tkzd.31.txt	0	16	3	5	4	24	0	24	5	9	6	33	
phil_ochs.txt.tkzd.3.txt	2	13	8	13	8	0	0	0	11	24	6	37	
kurt_cobain.txt.tkzd.42.txt	12	3	6	6	24	4	0	4	0	14	0	25	
ian_curtis.txt.tkzd.9.txt	2	4	6	1	10	10	0	0	0	12	2	7	
ian_curtis.txt.tkzd.7.txt	2	21	15	19	4	14	0	13	6	25	7	20	
phil_ochs.txt.tkzd.1.txt	0	21	28	13	12	45	0	38	15	30	19	48	
elliott_smith.txt.tkzd.38.txt	0	23	19	13	10	29	0	29	19	18	10	40	
pete_ham.txt.tkzd.25.txt	0	12	9	12	8	12	0	12	3	20	9	9	
stuart_adamson.txt.tkzd.18.txt	7	33	33	23	28	32	2	30	10	28	24	46	
elliott_smith.txt.tkzd.78.txt	3	17	13	4	16	17	0	16	6	19	6	24	
pete_ham.txt.tkzd.18.txt	1	26	37	22	49	46	0	46	38	19	1	63	
stuart_adamson.txt.tkzd.17.txt	9	19	13	26	36	5	1	5	14	27	4	25	
phil_ochs.txt.tkzd.32.txt	1	10	15	3	40	1	0	1	6	16	5	31	
phil_ochs.txt.tkzd.27.txt	1	33	23	15	41	3	0	0	7	8	7	33	
phil_ochs.txt.tkzd.26.txt	9	25	23	9	17	17	3	8	9	38	3	46	
phil_ochs.txt.tkzd.49.txt	2	6	4	5	2	18	0	0	3	33	2	36	
kurt_cobain.txt.tkzd.3.txt	3	17	8	5	14	27	0	27	7	7	5	31	
elliott_smith.txt.tkzd.42.txt	1	13	17	16	9	13	0	13	3	20	8	14	
elliott_smith.txt.tkzd.19.txt	1	10	5	5	12	1	1	1	1	11	0	8	
elliott_smith.txt.tkzd.31.txt	2	10	8	6	8	8	0	8	7	7	3	22	
elliott_smith.txt.tkzd.64.txt	5	9	9	5	14	19	0	17	10	13	5	28	
pete_ham.txt.tkzd.7.txt	0	14	7	10	27	11	0	9	4	25	5	13	
stuart_adamson.txt.tkzd.16.txt	1	42	15	24	7	38	0	21	20	47	18	32	
kurt_cobain.txt.tkzd.16.txt	0	35	14	3	26	24	0	24	4	22	1	38	
pete_ham.txt.tkzd.32.txt	8	16	10	15	36	17	1	15	33	35	18	20	
phil_ochs.txt.tkzd.35.txt	4	23	11	18	8	32	0	32	8	20	14	36	
elliott_smith.txt.tkzd.89.txt	5	27	10	8	30	5	0	4	10	21	6	30	
phil_ochs.txt.tkzd.20.txt	0	14	6	15	10	11	0	2	6	17	3	22	
pete_ham.txt.tkzd.24.txt	6	17	30	24	39	38	0	33	14	17	10	48	
elliott_smith.txt.tkzd.35.txt	4	13	5	8	3	9	0	8	5	10	6	21	
phil_ochs.txt.tkzd.30.txt	0	17	20	17	23	0	0	0	3	30	3	36	
pete_ham.txt.tkzd.21.txt	3	36	5	6	27	35	0	35	9	27	0	44	
ian_curtis.txt.tkzd.23.txt	3	9	8	6	8	3	0	2	3	8	2	5	
elliott_smith.txt.tkzd.72.txt	0	12	14	9	15	10	1	10	9	17	8	18	
phil_ochs.txt.tkzd.37.txt	1	9	3	8	10	11	0	9	3	17	5	28	
ian_curtis.txt.tkzd.32.txt	0	24	2	41	24	5	0	4	21	10	17	37	
kurt_cobain.txt.tkzd.37.txt	4	31	13	30	15	53	2	53	4	31	7	58	
elliott_smith.txt.tkzd.39.txt	12	29	13	5	11	4	0	4	0	18	0	8	
kurt_cobain.txt.tkzd.2.txt	0	5	2	1	1	20	2	20	3	10	6	26	
phil_ochs.txt.tkzd.9.txt	2	15	12	11	45	1	1	1	6	51	3	44	
elliott_smith.txt.tkzd.75.txt	2	10	6	12	20	5	0	5	5	23	3	12	
ian_curtis.txt.tkzd.31.txt	4	19	19	19	11	13	1	12	9	21	5	16	
phil_ochs.txt.tkzd.19.txt	9	14	14	15	22	2	0	0	12	34	7	63	
elliott_smith.txt.tkzd.67.txt	5	24	12	8	26	13	0	13	7	19	9	16	
phil_ochs.txt.tkzd.44.txt	8	32	26	24	57	23	2	23	19	33	2	44	
elliott_smith.txt.tkzd.49.txt	6	13	7	8	11	17	0	16	9	15	3	17	
