index	artist	drug_words	mpqa_pos_words	love_words	mpqa_neut_words	2-3PTokens	1PTokens	action_verbs	1PSTokens	death_words	mpqa_neg_words	sensual_words	concrete_nouns
16	Elliott Smith	1	13	4	5	17	6	0	6	3	8	3	14
17	Elliott Smith	3	9	6	7	15	3	0	1	5	15	4	17
18	Elliott Smith	1	13	3	7	22	3	0	3	3	24	2	22
19	Elliott Smith	1	10	5	5	12	1	1	1	1	11	0	8
20	Elliott Smith	4	10	4	9	30	12	0	12	5	18	6	30
21	Elliott Smith	5	17	4	14	15	9	0	9	3	14	3	21
22	Elliott Smith	4	27	18	17	29	14	0	14	5	11	4	27
23	Elliott Smith	0	26	12	12	19	8	0	8	9	19	7	20
24	Elliott Smith	3	8	7	6	6	10	1	8	6	12	6	14
25	Elliott Smith	6	13	10	10	2	10	0	10	4	18	2	22
26	Elliott Smith	1	26	12	15	18	14	0	14	11	16	10	23
27	Elliott Smith	8	30	19	11	23	10	0	9	7	20	9	27
28	Elliott Smith	1	3	2	6	12	10	0	10	1	6	1	9
29	Elliott Smith	0	3	11	2	3	10	0	10	2	3	1	13
30	Elliott Smith	4	17	9	7	14	14	2	14	16	16	4	30
31	Elliott Smith	2	10	8	6	8	8	0	8	7	7	3	22
32	Elliott Smith	1	7	5	6	4	6	0	6	1	14	1	14
33	Elliott Smith	5	15	10	14	22	10	0	10	4	17	2	16
34	Elliott Smith	1	24	9	6	9	8	1	7	8	9	9	29
35	Elliott Smith	4	13	5	8	3	9	0	8	5	10	6	21
36	Elliott Smith	8	24	9	19	28	13	0	13	16	18	12	25
37	Elliott Smith	1	8	5	1	6	4	0	4	1	5	6	13
38	Elliott Smith	0	23	19	13	10	29	0	29	19	18	10	40
39	Elliott Smith	12	29	13	5	11	4	0	4	0	18	0	8
40	Elliott Smith	8	24	22	22	40	24	0	23	11	29	5	48
41	Elliott Smith	1	12	13	2	4	13	0	13	3	13	2	21
42	Elliott Smith	1	13	17	16	9	13	0	13	3	20	8	14
43	Elliott Smith	1	20	5	7	11	18	0	17	12	20	8	34
44	Elliott Smith	6	16	2	11	9	21	1	21	3	19	3	27
45	Elliott Smith	3	53	31	10	18	12	0	12	3	32	1	23
46	Elliott Smith	5	25	11	16	16	23	3	23	12	26	9	41
47	Elliott Smith	9	17	13	11	25	18	0	18	6	12	8	27
48	Elliott Smith	3	16	17	23	0	12	0	12	4	12	2	17
49	Elliott Smith	6	13	7	8	11	17	0	16	9	15	3	17
50	Elliott Smith	9	20	11	13	19	8	0	8	7	27	10	20
51	Elliott Smith	2	18	14	16	30	5	1	5	11	25	7	32
52	Elliott Smith	6	12	11	11	8	9	1	9	13	29	5	16
53	Elliott Smith	1	22	11	10	11	12	1	12	4	12	6	22
54	Elliott Smith	2	10	10	9	9	5	0	5	0	14	6	9
55	Elliott Smith	5	13	9	17	39	11	2	11	16	25	3	27
56	Elliott Smith	11	27	15	20	13	28	1	28	12	22	4	50
57	Elliott Smith	6	23	16	23	12	22	1	22	12	27	9	39
58	Elliott Smith	7	33	22	21	21	25	0	24	10	33	8	39
59	Elliott Smith	3	12	12	12	12	7	0	7	4	12	0	11
60	Elliott Smith	4	10	11	3	6	10	0	10	1	11	5	19
61	Elliott Smith	6	25	10	18	30	5	1	5	1	18	6	15
62	Elliott Smith	2	8	4	9	18	11	0	11	0	7	5	12
63	Elliott Smith	2	28	7	9	12	3	1	3	14	19	3	30
64	Elliott Smith	5	9	9	5	14	19	0	17	10	13	5	28
65	Elliott Smith	4	7	7	5	17	12	0	11	4	11	4	20
66	Elliott Smith	5	21	14	15	18	10	1	10	7	11	4	17
67	Elliott Smith	5	24	12	8	26	13	0	13	7	19	9	16
68	Elliott Smith	3	36	12	23	53	24	1	24	13	34	9	36
69	Elliott Smith	1	12	17	9	8	11	0	11	12	19	7	12
70	Elliott Smith	4	18	11	3	28	5	2	5	1	17	4	18
