% 1. Title: Suicide/Non-suicide Project 2 Training Set Version 1 without Fiona Apple
% 
% 2. Sources:
%      (a) Creator: Matt Mulholland and Joanne Quinn
%      (b) Contents
%		Non-suicide Lyricists (253 songs):
%			1. Bob Dylan (123 songs)
%			2. Bob Marley (42 songs)
%			3. Mike Ness (43 songs)
%			4. Trent Reznor (45 songs)
%		Suicide Lyricists (280 songs):
%			1. Elliott Smith (99 songs)
%			2. Ian Curtis (40 songs)
%			3. Kurt Cobain (53 songs)
%			4. Pete Ham (34 songs)
%			5. Phil Ochs (54 songs)
%      (c) Date: August, 2013  
%
@relation song

@ATTRIBUTE	class	{suicide,non-suicide}
@ATTRIBUTE	passive/tok	numeric
@ATTRIBUTE	passive/typ	numeric
@ATTRIBUTE	passive/time	numeric
@ATTRIBUTE	(I+mental-verb)/time	numeric
@ATTRIBUTE	neut/typ	numeric
@ATTRIBUTE	diff_between_sums_across_all_n-grams	numeric
@ATTRIBUTE	percent_non-suicide_3-grams	numeric
@ATTRIBUTE	percent_non-suicide_4-grams	numeric
@ATTRIBUTE	diff_for_1-gram_percentages	numeric
@ATTRIBUTE	average_for_all_n-grams:_non-suicide	numeric
@ATTRIBUTE	diff_between_averages_for_all_n-grams	numeric
@ATTRIBUTE	det/tok	numeric

@DATA
non-suicide,0,0,0,0.0103092784,0.130952381,-0.2620923204,0.0794701987,0.0387096774,-0.0476190476,0.0566905681,-0.0436820534,0.0324324324
non-suicide,0,0,0,0.0147783251,0.1411764706,-0.0534966184,0.0863309353,0.0344827586,0.012195122,0.0498244352,-0.0089161031,0.06
non-suicide,0.0055555556,0.0153846154,0.0062893082,0.0062893082,0.1076923077,0.000660716,0.0763358779,0.020979021,0,0.0431240987,0.0001101193,0.0432692308
non-suicide,0,0,0,0.0084388186,0.1739130435,-0.0970973638,0.029535865,0.01953125,-0.0619469027,0.0453891627,-0.016182894,0.1243093923
non-suicide,0.0067114094,0.0120481928,0.0065359477,0,0.0963855422,-0.1483763837,0.0638297872,0,-0.0963855422,0.0483956264,-0.0247293973,0.0994152047
non-suicide,0.0108108108,0.0204081633,0.0118343195,0.0059171598,0.0612244898,-0.2812641781,0.112195122,0.0236966825,-0.0217391304,0.0658638036,-0.046877363,0.0814479638
non-suicide,0,0,0,0,0.0612244898,-0.0633027748,0.043956044,0.0211640212,0,0.036518934,-0.0105504625,0.103286385
non-suicide,0,0,0,0.0229007634,0.1446540881,0.0103941546,0.0081300813,0,0.0063291139,0.0218479992,0.0017323591,0.0513595166
non-suicide,0,0,0,0,0.1627906977,-0.0540856264,0.025974026,0,-0.011627907,0.0312151273,-0.0090142711,0.0734463277
non-suicide,0,0,0,0,0.1126760563,-0.0787939708,0.0409836066,0,-0.0422535211,0.0282322845,-0.0131323285,0.1066666667
